Member_number,Date,itemDescription,itemDescription_ro
3967,30-05-2015,pasta,
2885,15-05-2015,citrus fruit,fructe citrice
3935,02-07-2015,sausage,cârnați
3283,01-05-2015,whole milk,lapte integral
3268,06-11-2015,canned beer,bere la cutie
3677,30-04-2015,citrus fruit,fructe citrice
3495,27-06-2015,liquor (appetizer),lichior (aperitiv)
1410,04-10-2015,citrus fruit,fructe citrice
2440,06-06-2015,sausage,cârnați
4088,13-01-2015,chicken,pui
2469,23-09-2015,hamburger meat,
4229,06-03-2015,sausage,cârnați
2728,02-08-2015,beef,carne de vită
4694,25-01-2015,citrus fruit,fructe citrice
2836,29-12-2015,UHT-milk,
1311,12-02-2015,candy,bomboane
1760,23-01-2015,newspapers,ziare
3656,02-03-2015,beef,carne de vită
3720,28-05-2015,sausage,cârnați
2996,26-09-2015,frankfurter,
1949,22-07-2015,canned beer,bere la cutie
4498,11-02-2015,bottled beer,bere la sticlă
2447,28-12-2015,onions,ceapă
1952,23-03-2015,tropical fruit,fruct tropical
4099,27-01-2015,bottled water,apă îmbuteliată
1804,12-03-2015,beef,carne de vită
1510,16-05-2015,sausage,cârnați
2879,18-04-2015,hair spray,
4899,12-03-2015,chicken,pui
4326,29-09-2015,pork,carne de porc
1670,17-05-2015,ice cream,înghețată
1117,24-05-2015,meat,
1346,03-04-2015,other vegetables,alte legume
1178,15-11-2015,bottled water,apă îmbuteliată
1649,25-06-2015,tropical fruit,fruct tropical
4651,21-06-2015,photo/film,fotografii/film
4243,02-04-2015,sausage,cârnați
4429,21-07-2015,grapes,struguri
4645,25-07-2015,domestic eggs,ouă
4019,24-07-2015,rolls/buns,chifle
4459,26-04-2015,tropical fruit,fruct tropical
3006,27-12-2015,chicken,pui
1834,17-09-2015,frankfurter,
3236,04-07-2015,berries,fructe de pădure
1765,11-03-2015,margarine,margarină
3855,09-03-2015,tropical fruit,fruct tropical
4392,28-11-2015,ham,șuncă
3330,26-07-2015,hamburger meat,
1723,02-09-2015,yogurt,iaurt
4110,30-03-2015,soda,suc carbogazos
2600,28-01-2015,yogurt,iaurt
2946,07-10-2015,soda,suc carbogazos
2426,08-09-2015,bottled water,apă îmbuteliată
4170,03-05-2015,sausage,cârnați
1109,06-04-2015,citrus fruit,fructe citrice
3429,04-01-2015,shopping bags,pungi de cumpărături
2055,04-02-2015,newspapers,ziare
2480,20-09-2015,frankfurter,
2441,30-05-2015,sausage,cârnați
1054,04-10-2015,frankfurter,
4818,11-01-2015,salt,
3379,21-01-2015,oil,ulei
3939,10-02-2015,curd,brânză de vaci
1367,05-08-2015,other vegetables,alte legume
1043,10-01-2015,citrus fruit,fructe citrice
2231,17-10-2015,frankfurter,
3235,28-12-2015,root vegetables,legume rădăcinoase
4554,16-07-2015,tropical fruit,fruct tropical
3245,24-01-2015,beef,carne de vită
2996,19-05-2015,berries,fructe de pădure
2507,05-01-2015,canned beer,bere la cutie
4186,25-10-2015,whipped/sour cream,frișcă/smântână
3929,28-04-2015,root vegetables,legume rădăcinoase
3760,22-11-2015,whole milk,lapte integral
4928,18-08-2015,beef,carne de vită
4217,18-12-2015,frozen vegetables,legume congelate
1174,11-02-2015,rolls/buns,chifle
4103,19-06-2015,whole milk,lapte integral
4408,13-03-2015,whole milk,lapte integral
2588,28-12-2015,citrus fruit,fructe citrice
2598,11-11-2015,pastry,patiserie
1518,11-12-2015,frankfurter,
2702,08-04-2015,tropical fruit,fruct tropical
1001,20-01-2015,frankfurter,
2270,30-09-2015,berries,fructe de pădure
2838,10-11-2015,rolls/buns,chifle
1683,26-05-2015,root vegetables,legume rădăcinoase
4040,03-04-2015,yogurt,iaurt
3897,23-08-2015,other vegetables,alte legume
2200,11-03-2015,berries,fructe de pădure
4073,29-01-2015,berries,fructe de pădure
3700,19-04-2015,other vegetables,alte legume
3973,10-06-2015,rolls/buns,chifle
2715,06-07-2015,ham,șuncă
3967,23-11-2015,whole milk,lapte integral
4002,03-09-2015,tropical fruit,fruct tropical
2962,01-03-2015,bottled water,apă îmbuteliată
4340,25-12-2015,butter milk,
2092,06-11-2015,newspapers,ziare
3143,24-05-2015,coffee,cafea
2209,03-10-2015,bottled beer,bere la sticlă
2816,22-08-2015,onions,ceapă
2659,01-06-2015,hamburger meat,
1588,13-10-2015,sausage,cârnați
1144,15-10-2015,hard cheese,brânză tare
2166,10-12-2015,sausage,cârnați
3300,06-10-2015,hamburger meat,
3944,03-01-2015,onions,ceapă
4979,24-04-2015,coffee,cafea
2630,21-01-2015,shopping bags,pungi de cumpărături
4240,29-04-2015,yogurt,iaurt
2357,08-07-2015,soda,suc carbogazos
1743,18-04-2015,sliced cheese,brânză feliată
2331,15-02-2015,sausage,cârnați
1643,28-04-2015,yogurt,iaurt
1291,20-03-2015,domestic eggs,ouă
3675,04-07-2015,whole milk,lapte integral
4134,06-11-2015,meat,
1363,21-06-2015,dish cleaner,detergent pentru vase
4212,01-05-2015,other vegetables,alte legume
1500,21-03-2015,whole milk,lapte integral
2622,01-10-2015,other vegetables,alte legume
3543,18-03-2015,tropical fruit,fruct tropical
2525,24-05-2015,baking powder,
1264,12-10-2015,specialty bar,
3601,06-07-2015,ice cream,înghețată
1771,23-03-2015,frankfurter,
4694,06-02-2015,canned beer,bere la cutie
1122,21-12-2015,bottled water,apă îmbuteliată
3507,12-08-2015,other vegetables,alte legume
4524,26-04-2015,citrus fruit,fructe citrice
3612,27-09-2015,sausage,cârnați
3262,11-06-2015,domestic eggs,ouă
1897,25-01-2015,pork,carne de porc
1656,30-10-2015,specialty cheese,brânză specială
3953,10-01-2015,pork,carne de porc
1488,21-06-2015,beef,carne de vită
1652,17-03-2015,other vegetables,alte legume
4953,16-09-2015,chicken,pui
3445,30-04-2015,soda,suc carbogazos
3180,15-03-2015,whole milk,lapte integral
4934,06-09-2015,rolls/buns,chifle
2980,27-04-2015,bottled beer,bere la sticlă
2763,13-02-2015,root vegetables,legume rădăcinoase
4819,04-03-2015,pastry,patiserie
3169,02-07-2015,berries,fructe de pădure
1850,11-03-2015,citrus fruit,fructe citrice
4285,29-12-2015,whole milk,lapte integral
4366,13-08-2015,soda,suc carbogazos
2253,16-06-2015,bottled water,apă îmbuteliată
3398,11-03-2015,tropical fruit,fruct tropical
2215,22-07-2015,salty snack,gustare sărată
3737,03-03-2015,bottled water,apă îmbuteliată
2649,28-11-2015,chocolate,ciocolată
3203,07-08-2015,citrus fruit,fructe citrice
4261,16-02-2015,bottled water,apă îmbuteliată
2435,17-07-2015,onions,ceapă
2046,21-08-2015,dessert,
4267,11-02-2015,beef,carne de vită
1086,28-12-2015,rolls/buns,chifle
1992,04-01-2015,beef,carne de vită
3622,26-07-2015,soda,suc carbogazos
4700,27-06-2015,coffee,cafea
2272,16-05-2015,rolls/buns,chifle
1663,19-05-2015,pork,carne de porc
2519,03-06-2015,soda,suc carbogazos
2639,30-10-2015,sausage,cârnați
1466,19-04-2015,beef,carne de vită
4122,23-10-2015,whole milk,lapte integral
3598,15-04-2015,pork,carne de porc
3097,10-08-2015,berries,fructe de pădure
1873,19-09-2015,sausage,cârnați
1537,01-02-2015,bottled water,apă îmbuteliată
3960,25-03-2015,tropical fruit,fruct tropical
1136,15-06-2015,herbs,
2453,21-12-2015,yogurt,iaurt
1746,15-02-2015,Instant food products,
3572,09-06-2015,specialty chocolate,
3246,24-06-2015,coffee,cafea
3207,26-11-2015,bottled beer,bere la sticlă
1042,12-02-2015,beef,carne de vită
1176,30-03-2015,whole milk,lapte integral
3054,23-02-2015,frankfurter,
4486,02-12-2015,frankfurter,
1580,05-12-2015,other vegetables,alte legume
1623,02-11-2015,frankfurter,
4169,24-11-2015,whole milk,lapte integral
2254,24-01-2015,frankfurter,
4095,01-11-2015,other vegetables,alte legume
1264,17-11-2015,bottled water,apă îmbuteliată
3375,06-01-2015,pork,carne de porc
3242,23-05-2015,bottled water,apă îmbuteliată
2227,07-06-2015,other vegetables,alte legume
3847,03-12-2015,hamburger meat,
3897,31-05-2015,hamburger meat,
1799,27-09-2015,shopping bags,pungi de cumpărături
2920,26-04-2015,whole milk,lapte integral
3713,31-01-2015,ice cream,înghețată
4230,05-11-2015,pastry,patiserie
1455,18-03-2015,ham,șuncă
3687,18-03-2015,frankfurter,
3869,01-08-2015,sausage,cârnați
2988,14-10-2015,bottled beer,bere la sticlă
4242,30-03-2015,bottled water,apă îmbuteliată
4118,24-12-2015,meat,
4996,24-10-2015,dessert,
4489,04-03-2015,other vegetables,alte legume
1199,09-11-2015,beverages,băuturi
4108,12-05-2015,ham,șuncă
3484,05-06-2015,specialty bar,
1239,31-08-2015,brown bread,pâine integrală
4839,19-12-2015,whole milk,lapte integral
4748,07-05-2015,rolls/buns,chifle
4426,06-06-2015,bottled beer,bere la sticlă
3571,11-12-2015,pet care,îngrijirea animalelor
2852,08-06-2015,citrus fruit,fructe citrice
3638,26-05-2015,pork,carne de porc
3635,10-03-2015,other vegetables,alte legume
2723,07-05-2015,white wine,
3495,11-03-2015,whole milk,lapte integral
2813,16-11-2015,pip fruit,fruct cu sâmburi
2799,02-09-2015,sugar,zahăr
4723,22-05-2015,tropical fruit,fruct tropical
3313,08-04-2015,root vegetables,legume rădăcinoase
4748,15-12-2015,soda,suc carbogazos
2991,16-02-2015,whole milk,lapte integral
1483,01-04-2015,tropical fruit,fruct tropical
3950,01-10-2015,white bread,pâine albă
1634,16-01-2015,brown bread,pâine integrală
2694,21-11-2015,tropical fruit,fruct tropical
2707,18-10-2015,domestic eggs,ouă
2813,16-07-2015,coffee,cafea
2276,11-01-2015,soda,suc carbogazos
4726,06-02-2015,whole milk,lapte integral
4353,25-05-2015,bottled beer,bere la sticlă
4017,13-08-2015,pork,carne de porc
1422,21-08-2015,other vegetables,alte legume
2714,15-03-2015,yogurt,iaurt
2769,21-07-2015,sparkling wine,
4166,30-04-2015,bottled water,apă îmbuteliată
3614,02-03-2015,citrus fruit,fructe citrice
4361,05-09-2015,hamburger meat,
1922,22-09-2015,packaged fruit/vegetables,
4728,06-09-2015,other vegetables,alte legume
3646,08-08-2015,soda,suc carbogazos
1155,10-08-2015,whole milk,lapte integral
2119,11-06-2015,herbs,
1602,29-08-2015,citrus fruit,fructe citrice
1074,24-06-2015,misc. beverages,
2256,11-04-2015,female sanitary products,
1348,17-09-2015,soda,suc carbogazos
3806,28-08-2015,tropical fruit,fruct tropical
1711,06-06-2015,soda,suc carbogazos
3959,12-04-2015,white bread,pâine albă
1590,15-08-2015,coffee,cafea
1962,08-06-2015,tropical fruit,fruct tropical
1766,21-01-2015,pork,carne de porc
2551,21-10-2015,citrus fruit,fructe citrice
2294,23-09-2015,frankfurter,
4531,29-05-2015,frankfurter,
2957,12-04-2015,frankfurter,
4415,27-01-2015,other vegetables,alte legume
1476,26-08-2015,yogurt,iaurt
3978,23-07-2015,sausage,cârnați
2062,22-09-2015,whole milk,lapte integral
3252,28-06-2015,pip fruit,fruct cu sâmburi
3922,24-06-2015,whole milk,lapte integral
1491,17-10-2015,root vegetables,legume rădăcinoase
3526,26-08-2015,onions,ceapă
4060,11-12-2015,specialty chocolate,
1067,08-04-2015,hamburger meat,
2840,27-01-2015,photo/film,fotografii/film
4484,27-11-2015,rolls/buns,chifle
2353,07-02-2015,canned beer,bere la cutie
3130,18-02-2015,canned beer,bere la cutie
4273,14-06-2015,other vegetables,alte legume
4565,30-12-2015,canned beer,bere la cutie
2504,14-08-2015,curd,brânză de vaci
4127,23-10-2015,butter,unt
2690,01-04-2015,other vegetables,alte legume
4129,22-09-2015,whole milk,lapte integral
4511,29-06-2015,beef,carne de vită
1602,04-08-2015,sausage,cârnați
4369,01-02-2015,soda,suc carbogazos
1302,29-09-2015,fruit/vegetable juice,suc de fructe/legume
3326,30-04-2015,rolls/buns,chifle
2066,21-05-2015,pip fruit,fruct cu sâmburi
3483,15-01-2015,frozen vegetables,legume congelate
2840,12-02-2015,beverages,băuturi
1807,18-05-2015,hamburger meat,
2067,12-08-2015,root vegetables,legume rădăcinoase
3783,17-02-2015,canned beer,bere la cutie
2884,04-01-2015,frozen vegetables,legume congelate
2908,15-03-2015,canned beer,bere la cutie
1330,10-07-2015,newspapers,ziare
2293,08-05-2015,rolls/buns,chifle
3718,20-05-2015,hamburger meat,
4338,25-01-2015,pip fruit,fruct cu sâmburi
3486,08-11-2015,canned beer,bere la cutie
3635,04-09-2015,grapes,struguri
2857,18-02-2015,root vegetables,legume rădăcinoase
3684,13-08-2015,citrus fruit,fructe citrice
3120,20-10-2015,cling film/bags,folie alimentară/pungi
3872,19-03-2015,frankfurter,
2777,07-04-2015,whole milk,lapte integral
2702,27-05-2015,pork,carne de porc
4796,29-06-2015,chicken,pui
1564,23-10-2015,sausage,cârnați
2740,02-07-2015,specialty bar,
1833,13-04-2015,whipped/sour cream,frișcă/smântână
1757,23-12-2015,root vegetables,legume rădăcinoase
2975,24-10-2015,rolls/buns,chifle
4032,10-08-2015,other vegetables,alte legume
3979,16-09-2015,citrus fruit,fructe citrice
3772,09-03-2015,whole milk,lapte integral
4523,28-10-2015,frankfurter,
4004,19-04-2015,coffee,cafea
2936,08-06-2015,ham,șuncă
2394,21-06-2015,canned beer,bere la cutie
4616,16-08-2015,canned beer,bere la cutie
2362,08-07-2015,canned beer,bere la cutie
3593,03-11-2015,pip fruit,fruct cu sâmburi
4389,27-08-2015,pork,carne de porc
3206,11-08-2015,soap,
4601,04-01-2015,pip fruit,fruct cu sâmburi
4382,13-11-2015,beef,carne de vită
2718,08-06-2015,sausage,cârnați
4691,12-10-2015,frozen chicken,
3735,28-11-2015,soda,suc carbogazos
3900,20-12-2015,tropical fruit,fruct tropical
4959,30-06-2015,other vegetables,alte legume
1815,30-08-2015,beef,carne de vită
2454,08-04-2015,meat,
4778,15-01-2015,meat,
2289,04-11-2015,bottled water,apă îmbuteliată
1734,13-07-2015,rolls/buns,chifle
4019,05-02-2015,pastry,patiserie
4605,28-05-2015,pork,carne de porc
4864,14-11-2015,pip fruit,fruct cu sâmburi
4205,22-02-2015,beef,carne de vită
1862,03-08-2015,beef,carne de vită
1846,19-07-2015,rolls/buns,chifle
2019,28-05-2015,citrus fruit,fructe citrice
2042,19-11-2015,meat,
1768,26-05-2015,beverages,băuturi
3847,26-03-2015,beef,carne de vită
3557,20-07-2015,ham,șuncă
3975,27-02-2015,hamburger meat,
4198,18-03-2015,beef,carne de vită
2580,04-09-2015,beef,carne de vită
3474,25-08-2015,root vegetables,legume rădăcinoase
1678,14-11-2015,citrus fruit,fructe citrice
4254,14-08-2015,yogurt,iaurt
4704,21-08-2015,tropical fruit,fruct tropical
3343,10-05-2015,frankfurter,
3812,24-06-2015,beef,carne de vită
3093,13-03-2015,shopping bags,pungi de cumpărături
2170,18-06-2015,canned beer,bere la cutie
4867,29-10-2015,rolls/buns,chifle
3899,23-03-2015,other vegetables,alte legume
2941,03-10-2015,hamburger meat,
1958,03-07-2015,hamburger meat,
2760,08-08-2015,frankfurter,
4413,03-08-2015,bottled beer,bere la sticlă
1737,15-05-2015,tropical fruit,fruct tropical
4202,18-02-2015,soda,suc carbogazos
1065,13-11-2015,frankfurter,
3819,28-06-2015,chicken,pui
2854,08-02-2015,coffee,cafea
4387,16-09-2015,whole milk,lapte integral
4530,12-04-2015,margarine,margarină
4191,03-11-2015,tropical fruit,fruct tropical
3102,04-12-2015,meat,
1946,25-01-2015,cream cheese ,
2156,15-05-2015,newspapers,ziare
1444,16-12-2015,rolls/buns,chifle
1699,14-05-2015,citrus fruit,fructe citrice
4954,04-05-2015,whole milk,lapte integral
2207,08-04-2015,frankfurter,
4826,28-01-2015,ham,șuncă
2374,08-06-2015,frankfurter,
1604,18-08-2015,sausage,cârnați
4437,29-11-2015,domestic eggs,ouă
2319,10-05-2015,whole milk,lapte integral
3018,27-06-2015,rolls/buns,chifle
1195,28-09-2015,whole milk,lapte integral
1768,04-09-2015,sausage,cârnați
3017,28-09-2015,curd,brânză de vaci
3384,29-11-2015,bottled water,apă îmbuteliată
1918,30-01-2015,beef,carne de vită
2524,17-10-2015,frankfurter,
2798,17-06-2015,chicken,pui
2096,25-01-2015,sausage,cârnați
1489,13-03-2015,pork,carne de porc
1431,20-07-2015,yogurt,iaurt
2747,05-07-2015,whole milk,lapte integral
3054,22-03-2015,frankfurter,
2691,09-10-2015,beef,carne de vită
1752,19-04-2015,pip fruit,fruct cu sâmburi
3027,15-09-2015,sausage,cârnați
